OrderID,Date,ProductName,Category,City,State,Quantity,UnitPrice,Discount,DeliveryStatus,Rating,TotalSale
ORD100000,2024-10-14,Printed Kurti,Fashion,Mumbai,Maharashtra,1,216.44,0.0,Returned,,216.44
ORD100001,2024-02-24,Makeup Kit,Beauty,Hyderabad,Telangana,1,645.67,0.15,Pending,,548.8195
ORD100002,2024-02-03,Printed Kurti,Fashion,Surat,Gujarat,1,375.74,0.0,Pending,,375.74
ORD100003,2024-01-12,Kids Toy Car,Toys,Mumbai,Maharashtra,1,392.45,0.05,Delivered,4.0,372.8275
ORD100004,2024-07-15,Makeup Kit,Beauty,Hyderabad,Telangana,1,246.15,0.0,Pending,,246.15
ORD100005,2024-03-18,Wooden Side Table,Home,Surat,Gujarat,1,644.27,0.05,Pending,,612.0564999999999
ORD100006,2024-03-26,Formal Shirt,Fashion,Pune,Maharashtra,1,570.26,0.05,Returned,,541.747
ORD100007,2024-11-10,Scented Candle,Home,Chennai,Tamil Nadu,1,122.58,0.1,Delivered,4.0,110.322
ORD100008,2024-05-12,LED Bulb Pack,Electronics,Pune,Maharashtra,1,369.92,0.0,Returned,,369.92
ORD100009,2024-10-23,LED Bulb Pack,Electronics,Hyderabad,Telangana,1,834.23,0.05,Returned,,792.5185
ORD100010,2024-05-27,Printed Kurti,Fashion,Delhi,Delhi,1,389.91,0.2,Delivered,4.0,311.92800000000005
ORD100011,2024-08-22,Yoga Mat,Fitness,Kolkata,West Bengal,1,548.34,0.0,Returned,,548.34
ORD100012,2024-07-27,Wooden Side Table,Home,Ahmedabad,Gujarat,1,151.54,0.3,Delivered,5.0,106.07799999999999
ORD100013,2024-08-02,Kids Toy Car,Toys,Delhi,Delhi,2,609.06,0.2,Returned,,974.496
ORD100014,2024-08-12,Scented Candle,Home,Kolkata,West Bengal,1,247.27,0.0,Delivered,5.0,247.27
ORD100015,2024-09-13,Printed Kurti,Fashion,Mumbai,Maharashtra,1,75.01,0.0,Delivered,4.0,75.01
ORD100016,2024-11-28,Phone Cover,Accessories,Delhi,Delhi,1,724.64,0.1,Delivered,5.0,652.176
ORD100017,2024-04-17,Printed Kurti,Fashion,Pune,Maharashtra,1,816.32,0.05,Returned,,775.504
ORD100018,2024-05-23,Yoga Mat,Fitness,Bengaluru,Karnataka,1,649.38,0.0,Returned,,649.38
ORD100019,2024-09-29,Makeup Kit,Beauty,Chennai,Tamil Nadu,1,842.66,0.0,Pending,,842.66
ORD100020,2024-09-03,Printed Kurti,Fashion,Jaipur,Rajasthan,1,793.76,0.2,Delivered,4.0,635.008
ORD100021,2024-03-04,Formal Shirt,Fashion,Hyderabad,Telangana,1,956.87,0.1,Returned,,861.183
ORD100022,2024-12-25,Kids Toy Car,Toys,Chennai,Tamil Nadu,1,998.63,0.05,Pending,,948.6985
ORD100023,2024-09-22,Formal Shirt,Fashion,Hyderabad,Telangana,1,651.45,0.05,Returned,,618.8775
ORD100024,2024-11-15,Wooden Side Table,Home,Hyderabad,Telangana,1,124.37,0.05,Delivered,5.0,118.1515
ORD100025,2024-04-13,Yoga Mat,Fitness,Pune,Maharashtra,1,862.75,0.05,Delivered,5.0,819.6125
ORD100026,2024-12-06,Makeup Kit,Beauty,Jaipur,Rajasthan,1,486.35,0.0,Pending,,486.35
ORD100027,2024-09-11,Yoga Mat,Fitness,Hyderabad,Telangana,2,421.94,0.15,Returned,,717.298
ORD100028,2024-02-25,Kids Toy Car,Toys,Ahmedabad,Gujarat,1,550.47,0.0,Returned,,550.47
ORD100029,2024-10-16,LED Bulb Pack,Electronics,Hyderabad,Telangana,2,644.35,0.05,Pending,,1224.2649999999999
ORD100030,2024-10-17,Formal Shirt,Fashion,Chennai,Tamil Nadu,1,457.21,0.0,Pending,,457.21
ORD100031,2024-06-04,Kids Toy Car,Toys,Jaipur,Rajasthan,1,751.94,0.05,Returned,,714.3430000000001
ORD100032,2024-07-16,Makeup Kit,Beauty,Bengaluru,Karnataka,1,346.55,0.0,Returned,,346.55
ORD100033,2024-11-30,Printed Kurti,Fashion,Mumbai,Maharashtra,1,653.66,0.0,Delivered,5.0,653.66
ORD100034,2024-11-03,LED Bulb Pack,Electronics,Bengaluru,Karnataka,1,1115.86,0.05,Pending,,1060.0669999999998
ORD100035,2024-01-25,Kids Toy Car,Toys,Jaipur,Rajasthan,3,602.37,0.3,Returned,,1264.977
ORD100036,2024-06-30,Kids Toy Car,Toys,Jaipur,Rajasthan,1,125.63,0.0,Pending,,125.63
ORD100037,2024-11-30,Phone Cover,Accessories,Surat,Gujarat,1,542.05,0.1,Delivered,4.0,487.84499999999997
ORD100038,2024-10-18,Printed Kurti,Fashion,Surat,Gujarat,1,693.33,0.0,Returned,,693.33
ORD100039,2024-04-23,Yoga Mat,Fitness,Delhi,Delhi,1,472.29,0.05,Returned,,448.6755
ORD100040,2024-01-02,LED Bulb Pack,Electronics,Ahmedabad,Gujarat,3,780.19,0.15,Pending,,1989.4845
ORD100041,2024-10-22,Phone Cover,Accessories,Surat,Gujarat,1,205.06,0.1,Delivered,4.0,184.554
ORD100042,2024-12-04,Formal Shirt,Fashion,Delhi,Delhi,1,726.06,0.0,Pending,,726.06
ORD100043,2024-08-24,Phone Cover,Accessories,Surat,Gujarat,1,1207.14,0.0,Delivered,4.0,1207.14
ORD100044,2024-10-23,LED Bulb Pack,Electronics,Kolkata,West Bengal,1,1061.98,0.0,Delivered,4.0,1061.98
ORD100045,2024-12-22,Formal Shirt,Fashion,Surat,Gujarat,1,812.08,0.1,Delivered,4.0,730.8720000000001
ORD100046,2024-07-08,Scented Candle,Home,Kolkata,West Bengal,1,736.16,0.0,Delivered,4.0,736.16
ORD100047,2024-12-07,Printed Kurti,Fashion,Kolkata,West Bengal,1,501.72,0.2,Returned,,401.37600000000003
ORD100049,2024-10-11,Printed Kurti,Fashion,Delhi,Delhi,1,180.74,0.05,Returned,,171.703
ORD100050,2024-10-24,Printed Kurti,Fashion,Surat,Gujarat,1,627.96,0.0,Delivered,4.0,627.96
ORD100051,2024-08-01,LED Bulb Pack,Electronics,Ahmedabad,Gujarat,1,784.55,0.2,Delivered,5.0,627.64
ORD100052,2024-12-04,Phone Cover,Accessories,Surat,Gujarat,1,345.99,0.0,Pending,,345.99
